Name,EqWNeII,EqWNeIII,EqWNeV,EqWOIV,EqWPAH 11.3,EqWPAH 6.2,EqWPAH 7.7,LNeII,LNeIII,LNeV,LOIV,LPAH 11.3,LPAH 6.2,LPAH 7.7,lfir,lmir,agn_frac,lir_pah,agn_frac_dale,lfir_dale,LBAT,lfir_decompir,L20cm
2MASXJ03502377-5018354,0.179879069021,0.1131397054,0.0,0.0564857097835,2.1706192781,2.43965521845,103.623088218,1.59652555676e+41,8.10926749621e+40,0.0,3.83500412313e+40,1.6559365237e+42,1.00719482435e+42,7.9924452846e+42,10.18851722,9.845804932,0.083142337,10.753539871,0.0,10.4496986,6.4551088945e+43,10.3904864273,
2MASXJ05054575-2351139,0.0164307100882,0.0194646821622,0.00759245780781,0.038287379596,0.0511828262337,0.0124018396489,0.458175431622,7.02981624672e+40,7.20823511611e+40,2.88378623708e+40,6.14178751177e+40,2.26802758486e+41,7.19971304691e+40,2.2359183008e+42,9.392196782,10.32678078,0.861135619,9.76781621217,0.6404,10.2139374631,1.73063518336e+44,9.64958828503,3.1827773487e+38
2MASXJ05580206-3820043,0.00222620210436,0.00718606722862,0.000214770436522,0.0225745705446,0.00231067348638,0.0,0.0273322277625,5.47711033599e+40,1.37847539066e+41,4.67985790001e+39,1.50977230312e+41,6.97630979186e+40,0.0,1.78262833506e+42,,,,9.18324882479,,,7.76575992143e+43,,1.29500010157e+39
2MASXJ07595347+2323241,0.0596743446599,0.041565887354,0.0183740064958,0.0619389158238,0.698113160962,0.238940995513,2.91234616388,2.47034013253e+41,1.32630717238e+41,6.93546194091e+40,1.14725978037e+41,2.61068523287e+42,1.84769484873e+42,1.5573439009e+43,10.90169816,10.3175965,-0.05773569,10.9792629301,0.0,11.07179443,6.741443831e+43,10.894168666,6.07316157297e+38
2MASXJ09043699+5536025,0.0884650015368,0.0578746899369,0.02858678689,0.182577987065,0.434293753737,0.233746130094,3.04243646558,8.20212896541e+40,5.07245907571e+40,2.39828152663e+40,1.25753733967e+41,3.81468924998e+41,3.35211962507e+41,1.8343440497e+42,9.5619969,10.0207061,0.655955918,10.0256205656,0.2524,10.1836332227,4.86800046766e+43,10.0508090862,1.0760843139e+38
2MASXJ11454045-1827149,0.0111090384097,0.0499987969026,0.0217705795791,0.567183962917,0.00683881602183,0.0,0.234547063048,3.39294868835e+40,1.53774596438e+41,6.82846926987e+40,6.33064507595e+41,2.89286278547e+40,0.0,1.15600520733e+42,9.949416941,10.27543711,0.572438467,8.74678584601,0.6255,10.397786812,1.33508033324e+44,10.0924535524,3.40157428243e+38
2MASXJ12005792+0648226,0.0397145385364,0.0188374485873,0.00265910396606,0.0516272926326,0.278298009246,0.236281729663,0.768972921682,1.19153153679e+41,5.77394377662e+40,8.54391415449e+39,8.47255065015e+40,1.40121473439e+42,1.03484971998e+42,3.6110892597e+42,10.37739371,10.27881999,0.257998349,10.6707233512,0.2499,10.6899890155,6.38414292342e+43,10.3605334828,2.6138849328e+38
3C120,0.011442070902,0.079056404157,0.0462217975641,0.411710618654,0.0174074632705,0.0034393237691,0.0194602505153,1.4329924203e+41,9.13368613085e+41,5.45008678023e+41,2.58019290278e+42,2.98010914779e+41,1.22488380953e+41,3.24254251396e+41,9.424975977,11.0452976,0.968787422,9.90320134544,0.5435,11.0351076119,2.37354720278e+44,10.9290397173,1.21073536499e+41
Ark120,0.0063923477414,0.00978482513153,0.00276766813117,0.0471756140664,0.0278396265424,0.00608447910011,0.149950841298,6.9464074824e+40,8.54716135363e+40,2.56101061647e+40,1.60103282491e+41,5.17371857921e+41,2.29391346746e+41,3.88544658387e+42,10.38310816,10.72616377,0.583750693,10.1767150243,0.5898,10.799726556,1.7277588595e+44,10.4246436674,4.28484197156e+38
ARK347,0.0215081867867,0.104132534003,0.0322115080634,0.364643205072,0.0268547177467,0.0144043422834,0.0699466834767,4.69194687996e+40,1.98987903429e+41,6.3207559395e+40,3.76609480997e+41,7.23245823669e+40,5.70672368046e+40,1.87063626625e+41,9.616614048,10.13277426,0.688630916,9.20112777989,0.5572,10.1624350222,3.37573896528e+43,9.72672231645,7.20920524789e+37
CenA,0.0588741740977,0.0630007390714,0.00799902915837,0.0718072031137,0.103839471994,0.00154457355215,0.125400389347,2.88135229215e+39,2.68126567266e+39,3.60933847474e+38,2.02631561509e+39,3.56863865605e+39,3.39037054551e+38,6.37269015821e+39,10.00971096,8.711913817,-0.269389627,7.70919564265,0.0,9.763220297,2.12008337257e+42,9.82978430257,
CGCG420-015,0.00659156491833,0.0132445714687,0.00646193838074,0.0390754205401,0.0144869981358,0.00569992180153,0.027738403977,7.5802323059e+40,1.38073135308e+41,6.92499224894e+40,1.94359614499e+41,2.13974382319e+41,1.56389032655e+41,5.0609409076e+41,10.04537056,10.74586183,0.778425696,9.73894699081,0.6404,10.6208119931,5.57074021922e+43,10.0291222875,2.66443945004e+38
CGCG468-002NED01,0.0395746188843,0.0387829189655,0.0133487425106,0.0474890715474,0.425691896447,0.176316832445,0.214273806638,6.19433389653e+40,5.64345171317e+40,2.02789586096e+40,6.02345050158e+40,6.24234119532e+41,2.94567422733e+41,7.98399475801e+41,10.26177616,10.10311742,0.212894782,10.26981321,0.0737,10.5715976041,1.7962901787e+43,10.4766179404,
ESO005-G004,0.0475923824335,0.0428972282271,0.0111199038197,0.0261707273231,0.78627533946,0.199644386912,1.22126042713,1.57727629359e+40,1.05764775602e+40,3.32724232754e+39,5.65094786447e+39,1.26554002212e+41,9.57211191095e+40,5.12602849491e+41,9.990858977,9.448880006,-0.035927016,9.47854523571,0.0309,10.1570526036,1.9461949733e+42,10.1122043428,
ESO103-035,0.0215150671436,0.0288833964158,0.0,0.0288182206868,0.0,0.0100613730301,0.0516147556722,1.32442773755e+41,1.73386399477e+41,0.0,1.15712586266e+41,0.0,5.82584159166e+40,2.76505683831e+41,9.746292968,10.50931065,0.803763506,-inf,0.6748,10.3418174469,4.42903745504e+43,9.39444671502,
ESO121-IG028,0.0233539713507,0.0677343873249,0.0309969598359,0.198904876707,0.0465791931185,0.03165366797,0.217472631044,3.25175261648e+40,7.63848552815e+40,3.71956091328e+40,1.33088800724e+41,5.12414762374e+40,5.9539557364e+40,4.12146822534e+41,9.597432009,9.833554009,0.510227492,9.03025861503,0.0583,10.4989075204,1.07644420433e+44,9.98276667082,
ESO141-G055,0.00634524516732,0.0164208708972,0.00708596871413,0.0699570047208,0.0265241687778,0.00837238976223,0.0069867027758,6.4044693419e+40,1.43106324025e+41,6.39493908225e+40,2.8890695155e+41,4.24173380463e+41,2.61659928679e+41,1.50232025526e+41,10.52556108,10.71977945,0.479965777,10.0782341571,0.5979,10.8954333831,1.73905300836e+44,10.5812428691,
ESO157-G023,0.0126006121055,0.0361874256061,0.0208636880473,0.218203799728,0.0427761735757,0.010650156805,0.26711135553,4.89047151812e+40,1.11421941868e+41,6.70795852207e+40,2.32082973107e+41,2.16137072078e+41,6.54241697511e+40,2.00460812442e+42,10.18607727,10.23896457,0.373875741,9.74393327074,0.3729,10.4949668908,9.41331119823e+43,10.2164473848,
ESO198-024,0.0103219688606,0.00858188074788,0.00739307446362,0.0,0.0553265557609,0.0622057973827,0.0594009660033,3.54156085864e+40,2.9542349158e+40,2.55312489442e+40,0.0,2.60749254205e+41,1.65797270073e+41,3.19726530636e+41,9.555881542,10.30703607,0.799147859,9.83697335634,0.6404,10.2493755631,1.44007793077e+44,9.63442649769,
ESO297-018,0.0215838989672,0.028689676242,0.00788961498978,0.0739464707467,0.277170246528,0.0783356488004,0.412733822886,3.78712272454e+40,4.2600339876e+40,1.28600789303e+40,5.74451150005e+40,4.86210173656e+41,2.23030826792e+41,9.98222816315e+41,10.20678999,10.26206675,0.375702635,10.145913837,0.1921,10.5890492281,9.97248920017e+43,10.4717594498,1.2152791788e+39
ESO323-077,0.026466898862,0.0200085421889,0.00990674687207,0.0574884575067,0.186108219914,0.0446841631082,0.38098224809,1.41267931984e+41,9.04892583482e+40,4.73765162284e+40,1.71785358747e+41,1.16327128101e+42,6.42425667485e+41,4.29627472784e+42,10.64100887,10.49520201,0.222461906,10.5784483322,0.2071,10.9605565479,1.6759565323e+43,10.813913863,
ESO374-G044,0.0183833901333,0.0715676964584,0.0346717494786,0.227852905114,0.0258782459436,0.0251543175801,0.0416569081033,6.40533564998e+40,2.8052933263e+41,1.30305250396e+41,4.65237359216e+41,7.86476127222e+40,5.90261340333e+40,9.08717560853e+40,9.740129102,10.38923096,0.755692719,9.24268459005,0.525,10.3416411596,3.729539101e+43,9.97796804247,2.05996731837e+39
ESO417-G006,0.0416748032291,0.0773387792987,0.00612692963576,0.166984044886,0.110236939174,0.217879167068,0.645984659361,1.16009291919e+40,1.76035892814e+40,1.48751857068e+39,2.65777840967e+40,2.9001157329e+40,1.02651192507e+40,1.75222327609e+41,9.109866917,9.269352048,0.454385355,8.74802742004,0.2739,9.57525941376,1.83364702295e+43,9.29202694904,
ESO426-G002,0.00577972239058,0.0245223901324,0.0152373762556,0.177134865334,0.00769496614443,0.0,0.0,1.07103470439e+40,4.25763547295e+40,2.81288497184e+40,1.87095722679e+41,1.52716411524e+40,0.0,0.0,9.63839435,10.06290114,0.635472709,8.43003493377,0.5616,10.1123743555,2.7880903919e+43,9.31314786713,
ESO439-G009,0.018311412569,0.0695021889482,0.0285899654811,0.31660289706,0.0830669178233,0.0245407291837,0.151595397479,4.87328979098e+40,1.76499255903e+41,7.53525182883e+40,4.4905581917e+41,1.69879084006e+41,3.27701037281e+40,2.66854883631e+41,10.06058081,10.3147956,0.523063706,9.6245254007,0.3035,10.4997530608,8.7177107662e+42,10.3414965476,1.1368102713e+39
ESO506-G027,0.0117286080629,0.015170123162,0.00209871052409,0.0448563658918,0.0611362576489,0.005913912176,0.0975337825988,6.7402782578e+40,6.60791092575e+40,1.069616669e+40,8.41119976234e+40,2.27905940807e+41,6.3019788037e+40,7.74308812837e+41,9.984980457,10.42521221,0.644983961,9.77022209605,0.5471,10.5235147607,1.34079690699e+44,10.3033909826,1.47930308375e+39
ESO511-G030,0.0140737224911,0.0149504860506,0.00043377199526,0.0499275536202,0.0307479394574,0.0966108460941,0.280012856657,2.0523183573e+40,1.73597411496e+40,5.29724372795e+38,1.73140056255e+40,7.66385259945e+40,5.17275973965e+40,8.66887269896e+41,10.11477239,9.769224978,0.081275063,9.22985390016,0.0964,10.4265018022,4.54269354504e+43,10.4590414086,2.13586292995e+38
ESO548-G081,0.010562226869,0.0135977690481,0.00234854547989,0.0539385707972,0.0603703338361,0.00158159200759,0.00873918211611,1.20853743324e+40,1.22300971313e+40,2.23285784761e+39,1.62756760438e+40,1.12117099603e+41,7.97480683006e+39,2.26463842865e+40,9.897506508,9.925271431,0.354636444,9.41848811759,0.4229,10.2021873443,2.09405152896e+43,9.88397729302,2.37168982157e+37
ESO549-G049,0.107186372817,0.0452653236122,0.0182096977325,0.0132450722351,1.1235962131,0.603456005301,1.06118550874,3.20492622457e+41,1.09679400822e+41,4.81789668937e+40,3.8065976098e+40,2.62422526727e+42,2.0490133299e+42,5.48298444348e+42,10.88175307,10.42757077,0.013378268,10.981827835,0.0,11.10607795,3.97942126273e+43,11.085442369,5.54908187192e+38
Fairall49,0.0313002029492,0.0360341580072,0.0202638741644,0.0706257363961,0.123425423303,0.0463302385047,0.194100956945,3.27155638203e+41,3.34314104497e+41,1.97041960637e+41,3.73432132016e+41,1.27605159242e+42,8.97985291475e+41,2.64467566657e+42,10.48607883,10.78487263,0.554028611,10.6243294003,0.4505,10.9495115068,1.28820842327e+43,10.7058901087,
Fairall51,0.0159364705147,0.0211194681052,0.0109641844567,0.0496908289427,0.0719615737646,0.0367819661215,0.188475475697,5.32875547646e+40,6.41631839251e+40,3.37174618102e+40,9.65792000309e+40,3.19960502318e+41,2.50545483009e+41,1.06568273027e+42,9.668406784,10.45856238,0.813992233,9.93843847222,0.5126,10.4477380148,1.82180761234e+43,10.2823921694,
Fairall9,0.00411018480382,0.00878523180322,0.00963125686914,0.0470977537081,0.0186627030174,0.0,0.0789709641093,1.27322660305e+41,2.22133348702e+41,2.54238613097e+41,4.72466012119e+41,8.40913397838e+41,0.0,4.93306243426e+42,10.5501678,11.07777649,0.694877907,10.4175512728,0.7791,10.9410491359,2.57704267987e+44,10.2425787738,
IC0486,0.0316503807359,0.0535570922297,4.37427773659e-05,0.141972693126,0.189269222132,0.076766120877,0.181394480064,8.76136970502e+40,1.41047885269e+41,1.18100634399e+38,2.76782267068e+41,4.95882479646e+41,1.91894814497e+41,7.38421922276e+41,10.3288733,10.35181366,0.350936619,10.1556806166,0.2135,10.672366727,5.31784893495e+43,10.5622773705,2.70516663213e+38
IC1816,0.0699183492871,0.0977398297046,0.0317433295188,0.0986219182484,0.252221718754,0.108664239264,28.9682731504,1.02394828533e+41,1.55365403119e+41,4.94486456553e+40,1.13906837514e+41,2.75714399124e+41,1.01429754587e+41,3.66508883715e+41,10.23125424,10.01001196,0.167103136,9.86464360716,0.1652,10.5055228504,1.24839461172e+43,10.3907832172,3.17855498549e+38
IC4329A,0.0110761497469,0.0346478445715,0.0110826431774,0.153068144476,0.0166547737248,0.00393652860345,0.0336629079863,1.44351508213e+41,4.09138355178e+41,1.352677447e+41,7.69001704381e+41,2.57905457441e+41,1.15583982234e+41,5.64208888073e+41,9.765688234,10.823368,0.892649374,9.831536043,0.7445,10.4871818945,1.68147580867e+44,9.54182304825,5.42246957335e+38
IC4518A,0.049926106652,0.107596224581,0.0465423853957,0.168237351735,0.345239107866,0.109928057139,0.449073164124,1.72795670007e+41,3.2904288562e+41,1.57926510314e+41,5.69167434023e+41,5.64962376071e+41,4.57518586572e+41,1.42187999111e+42,10.48409844,10.57112443,0.399905637,10.2203464033,0.104,10.8713171397,1.65425119127e+43,10.7510916019,
IC5063,0.00959144407841,0.0339258789549,0.0125946231094,0.0582573989578,0.0161153773719,0.00231777479698,0.140688278639,6.05467991219e+40,2.07122395732e+41,7.87539319521e+40,2.54025746856e+41,9.29744971479e+40,1.26549675969e+40,9.34469444251e+41,9.829506481,10.69152864,0.838933795,9.32566015075,0.6541,10.545792652,2.08832037062e+43,10.0331550698,
IISZ010,0.0118849889412,0.0223019297093,0.0166418800872,0.0589876027444,0.0100994778332,0.00337709004612,0.0452593587197,4.51125584305e+40,8.19898613893e+40,6.10080710886e+40,7.04061231215e+40,5.19343658212e+40,2.28514480686e+40,2.42459494684e+41,9.489105434,10.2280702,0.794312477,9.03691827906,0.833,9.86339211115,4.12606325741e+43,9.41837857254,
IRAS05218-1212,0.0075853432804,0.0345870552369,0.00992795350924,0.168150313487,0.0153613512689,0.0109231818513,0.034407570454,1.2495516037e+41,5.22810490671e+41,1.53374955761e+41,1.23962130882e+42,2.95624126244e+41,2.73644850264e+41,7.35738738679e+41,10.29361999,10.86562574,0.718263292,9.89921425089,0.7561,10.7406809403,1.03779861279e+44,9.9371022832,7.3042875042e+38
LCRSB232242.2-384320,0.0566360106817,0.0218844693709,0.0179537534666,0.0895980020133,0.671934154858,0.362107056486,2.83128163952,1.5051865079e+41,4.47583980633e+40,4.2627448272e+40,8.279929741e+40,2.06180474917e+42,1.36485227416e+42,7.55598002046e+42,10.50765491,9.980588112,-0.027917544,10.8622324735,0.0241,10.691747398,4.47985810009e+43,10.6890139109,1.79791638417e+38
M106,0.0335561204596,0.0392756973279,0.000273642300707,0.015524393938,0.0814019391799,0.0779696836533,0.453240383213,8.00133013709e+38,7.25043858623e+38,5.38900370822e+36,1.56873964458e+38,2.61525336182e+39,1.72992331096e+39,1.44356517025e+40,9.742444385,9.045093889,-0.110419686,7.55508123864,0.0,9.901486292,1.52473265575e+41,9.87737497885,
MCG-01-13-025,0.0411190026183,0.0471409316991,0.0,0.022511093484,0.0610523753294,0.0114902054555,0.0431219972485,1.35894310527e+40,1.41265978883e+40,0.0,2.67128936369e+39,3.01012525598e+40,1.40854611479e+40,2.35299673439e+40,8.896767133,9.26901968,0.602751246,8.76648756196,0.7026,9.27758316519,1.76704547088e+43,8.87714554406,6.36363642245e+37
MCG-01-24-012,0.0269021699213,0.0312540535724,0.00287572201648,0.0638319997491,0.0762632741082,0.00529806255482,0.0324869419196,5.22536568758e+40,5.69200971782e+40,5.3790596516e+39,9.9342329255e+40,1.21902573255e+41,1.49453170117e+40,1.0826501096e+41,9.756284943,10.21961275,0.658663645,9.45997803536,0.392,10.2895097593,3.56122834156e+43,10.046488574,3.28715341527e+38
MCG-02-12-050,0.0193994922848,0.023926528069,0.0119389432499,0.0605905310199,0.159766196705,0.0206555422747,0.112799508345,4.39877998616e+40,5.58175471598e+40,2.93904072828e+40,8.72446791273e+40,4.67153208737e+41,1.65841942021e+41,3.70554448213e+41,10.45157286,10.42094419,0.309834699,10.1260888505,0.1011,10.7802938804,5.82214272393e+43,10.6620046449,4.54739989596e+38
MCG-03-34-064,0.0271097993076,0.0531565201027,0.0119691433925,0.0939699754978,0.0426803311102,0.0100333396696,0.267061168288,3.18473343361e+41,6.33642134751e+41,1.43545380617e+41,6.70137271187e+41,4.37436973274e+41,1.1325739787e+41,2.93290072951e+42,10.55341835,10.75577829,0.485899945,10.0935008286,0.4161,10.9761267153,1.87875214485e+43,10.5827457677,2.37412672678e+39
MCG-05-23-016,0.00998191836695,0.0108608052549,0.00637868906839,0.0421236517314,0.0113996759198,0.000965455704603,0.0782817383635,2.35469696612e+40,2.43852903777e+40,1.4720617659e+40,5.80931795708e+40,2.46729238227e+40,6.2645038783e+39,1.48507364197e+41,9.414885358,10.04746757,0.748010901,8.66788732247,0.6763,9.9081740394,3.21903371939e+43,8.82182663736,3.27348503604e+37
MCG-06-30-015,0.00558265025274,0.0120029552641,0.00429659112542,0.0722907531047,0.0507233628237,0.0148552904242,0.454350469255,5.49535794058e+39,1.0493932747e+40,3.95148754228e+39,3.21074351968e+40,5.58829154723e+40,2.18567250389e+40,4.17093126582e+41,9.228319358,9.675691621,0.649250327,9.07325144826,0.7227,9.66737735958,8.44361214228e+42,9.09770527212,
MCG+01-57-016,0.0378778541785,0.036042287965,0.0265786334827,0.0803389955739,0.543917926472,0.161831530321,0.755045425817,9.27824090115e+40,9.60591908656e+40,6.82412010439e+40,1.49865930236e+41,1.0693800214e+42,6.57821679045e+41,1.452616872e+42,10.07628982,10.40120888,0.571701717,10.5367210344,0.3159,10.5808196904,2.36067286477e+43,10.3694520933,3.10584911847e+38
MCG+04-22-042,0.0109176329566,0.0282823449345,0.00678517187018,0.0904620488261,0.0225972077289,0.0,0.0497180688389,6.32205760397e+40,1.46996291616e+41,3.63190596401e+40,1.80752413214e+41,1.75728484101e+41,0.0,1.79941069188e+41,9.719670793,10.4523322,0.791774975,9.64131070961,0.7424,10.2550504287,9.62510296862e+43,9.98745072447,3.5798628585e+38
MCG+04-48-002,0.174781962388,0.0539398583082,0.0258447438294,0.0285189795647,0.658961505821,1.55288671694,2.03230731247,3.55704769598e+41,8.48013683101e+40,4.89440910145e+40,5.10282007728e+40,2.27417659006e+42,3.06151409981e+42,8.30329807235e+42,10.74778362,10.10093866,-0.087987379,10.9108415031,0.0,10.92434164,3.37067680902e+43,10.9039437939,5.19205538294e+38
Mrk10,0.0177840068408,0.0896840574955,0.0479677339164,0.327366229572,0.0432504442593,0.0107850774493,0.170936435449,3.60254498758e+40,1.67316668124e+41,9.17682248558e+40,4.41882830247e+41,9.42085908796e+40,3.74961832207e+40,4.21912279824e+41,10.33469018,10.42352979,0.401283464,9.33219819133,0.0677,10.7007392942,2.90658013539e+43,10.6370708042,1.73216464825e+38
Mrk1018,0.00964660841253,0.01580385114,0.000418825947849,0.083559750658,0.0059347834934,0.0103076671116,0.0272395346596,4.21290691667e+40,6.30362251005e+40,1.73533586883e+39,1.13814018717e+41,4.29505375213e+40,2.89792359593e+40,2.63816298738e+41,9.463412982,10.35382116,0.847962569,8.94274516638,0.8588,10.0062479467,1.39033878418e+44,9.72341110252,2.53631499417e+38
Mrk1210,0.0327132659919,0.026268774435,0.0064013815863,0.0162562957772,0.0291677671123,0.0103032910443,0.20943013653,1.36479127969e+41,1.3071593933e+41,2.89161805142e+40,5.43845702988e+40,1.0975400446e+41,4.6907852919e+40,8.03107621021e+41,9.673786226,10.49948949,0.826710886,9.40792586215,0.5656,10.2658822366,2.22049837677e+43,9.71127789879,6.56598104573e+38
Mrk1392,0.0240984679585,0.0747526367314,0.0293314712086,0.262020984574,0.0446743993935,0.0231980006621,0.0339466351426,1.20511912013e+41,3.80096040941e+41,1.45812414921e+41,6.89747863374e+41,2.46520098241e+41,1.56596875624e+41,2.13158267415e+41,10.31679416,10.45863797,0.441244915,9.80914969747,0.4581,10.680316921,5.75100641912e+43,10.4201659469,5.42410710687e+38
Mrk18,0.114805777107,0.0673835000894,0.0152264137873,0.0216241904088,1.18807135356,0.645769469904,4.83940047114,4.65673420968e+40,2.52069010062e+40,5.90302113121e+39,8.36756585459e+39,3.92769524403e+41,3.84181410819e+41,8.76757898903e+41,9.651115288,9.904483965,0.522466728,10.0400955254,0.0,10.15782951,3.34900642924e+42,10.1166251224,1.22595596008e+38
Mrk279,0.0258115677444,0.030599144364,0.0121670385401,0.0987895473535,0.0652961263774,0.00720761378332,0.043481269817,2.35686125307e+41,2.28473137008e+41,9.39261553005e+40,3.58789888874e+41,7.05901049188e+41,3.61695682968e+41,5.90676121335e+41,10.28086142,10.59386343,0.563685564,10.3307748776,0.4966,10.7367436912,8.3556458816e+43,10.3996729936,7.16198218423e+38
Mrk290,0.01277434946,0.0297144427301,0.00764716025135,0.0562005314334,0.035091398687,0.00454584780477,0.0394998193197,4.79429956205e+40,9.93096527826e+40,2.52666317458e+40,8.34169322794e+40,1.61904822002e+41,3.30878337152e+40,1.84654316953e+41,9.433033095,10.25612101,0.825800931,9.60068691791,0.7561,10.0157987703,4.67942087567e+43,9.23175667077,1.46206798175e+38
Mrk3,0.0564140338317,0.0897929656947,0.0340479932856,0.177574022763,0.00761260596359,0.00963556997086,0.549750827085,3.59559199113e+41,7.12293081123e+41,2.46807480106e+41,7.82972089342e+41,3.72989910201e+40,4.26927104945e+40,1.6957881771e+42,,3.785680861,1.0,8.87279252391,0.0158,10.4307769707,5.77474155339e+43,10.1766151019,6.31232494084e+39
Mrk348,0.0273709421138,0.0368164190153,0.0106575345698,0.0798931107277,0.0311129102935,0.00180804796041,0.0347972737491,8.45995591164e+40,1.17005876355e+41,3.35778578549e+40,1.23478520504e+41,9.43976092733e+40,1.16194776808e+40,1.90054574522e+41,9.612285267,10.25413136,0.752341295,9.33319201201,0.6777,10.1394490055,7.92006582228e+43,9.70966985753,2.08043882862e+39
Mrk352,0.016233109324,0.00479622668527,0.0,0.0224231832238,0.00678801485532,0.0,0.0267046408913,2.30988434681e+39,4.27542032823e+38,0.0,7.14069499169e+38,1.92945317809e+39,0.0,7.14342117004e+39,,,,7.40428831136,,,1.48845536704e+43,,
Mrk417,0.00981531876726,0.0217920896397,0.0,0.121323033519,0.0410269613275,0.0153807338179,0.0748596619249,3.15111467629e+40,8.23084424477e+40,0.0,1.89897984451e+41,1.27641168656e+41,6.51730566762e+40,3.03022496349e+41,9.471953311,10.236325,0.804284698,9.48278645933,0.7791,9.98861335587,8.01860204924e+43,9.27192968242,
Mrk477,0.0870475003815,0.0901005113621,0.023772246697,0.126202952826,0.128148699567,0.0859525714398,0.183818233553,7.56359958646e+41,1.08315645839e+42,2.57427105609e+41,1.00793463883e+42,1.04202360025e+42,6.59749895322e+41,1.59797298222e+42,10.6194303,10.86457789,0.516649222,10.5238719524,0.327,11.0848200142,4.76203452882e+43,10.6848129635,2.81489152148e+39
Mrk50,0.00870282330331,0.0151257253391,0.0,0.0222982143085,0.0371223766867,0.0,0.023561836211,6.72941606098e+39,8.40293395111e+39,0.0,2.84040775615e+39,4.35086835412e+40,0.0,4.11909485111e+40,,,,8.9491469697,,,2.82302538391e+43,,
Mrk509,0.021942613617,0.0310613821052,0.0116148915654,0.108234916698,0.0838235145028,0.0534401461427,0.125902788903,3.61413330889e+41,4.89533306957e+41,1.82721591584e+41,8.16458423762e+41,1.77392391187e+42,1.89566063049e+42,3.35797341859e+42,10.66311302,10.92205347,0.52639183,10.7876662585,0.5656,11.0956652166,2.63171908372e+44,10.6444737427,7.35349365595e+38
Mrk590,0.0140937470587,0.0146884664075,0.00215031905917,0.0287435423291,0.0299795959315,0.0,0.201082384227,4.89843804589e+40,5.12224952963e+40,7.46162082108e+39,5.38159596479e+40,1.19064341763e+41,0.0,8.45663460428e+41,10.26374032,10.35789535,0.405318261,9.4482972979,0.3175,10.6370258957,2.65641974272e+43,10.4738503135,3.74125702688e+38
Mrk841,0.00623142677242,0.0233158583052,0.0189534054682,0.148368262278,0.00559243237312,0.00216805908713,0.0195760514998,8.19511890793e+40,3.03247117607e+41,2.4850045281e+41,8.72882665264e+41,8.21212992283e+40,4.26073182603e+40,3.23210508936e+41,10.04569091,10.78080745,0.79276634,9.26411428193,0.6871,10.6288232031,1.0952036212e+44,9.75917776543,
