Name,Spitzer Spectra?,PID,AORKey,Spectra Orders,Spectra Type,Notes
1RXSJ044154.5-082639,No,0,0,NA,,
1RXSJ045205.0+493248,No,0,0,NA,,
2E1739.1-1210,No,0,0,NA,,
2MASSJ07594181-3843560,No,0,0,NA,,
2MASSJ17485512-3254521,No,0,0,NA,,
2MASXiJ1802473-145454,No,0,0,NA,,
2MASXJ00253292+6821442,No,0,0,NA,,
2MASXJ01064523+0638015,No,0,0,NA,,
2MASXJ01073963-1139117,No,0,0,NA,,
2MASXJ03305218+0538253,No,0,0,NA,,
2MASXJ03342453-1513402,No,0,0,NA,,
2MASXJ03502377-5018354,Yes,50588,26496512,SL/LL,P,
2MASXJ03534246+3714077,No,0,0,NA,,
2MASXJ03540948+0249307,Yes,82,4737792,SL/LL,B,
2MASXJ04234080+0408017,No,0,0,NA,,
2MASXJ04440903+2813003,No,0,0,NA,,
2MASXJ05020903+0331499,No,0,0,NA,,
2MASXJ05054575-2351139,Yes,50588,26490368,SL/LL,C,
2MASXJ05580206-3820043,Yes,30745,18943232,SL/LL,C,
2MASXJ06411806+3249313,No,0,0,NA,,
2MASXJ06561197-4919499,No,0,0,NA,,
2MASXJ07262635-3554214,No,0,0,NA,,
2MASXJ07595347+2323241,Yes,50588,26496000,SL/LL,P,
2MASXJ08032736+0841523,No,0,0,NA,,
2MASXJ09023729-4813339,No,0,0,NA,,
2MASXJ09043699+5536025,Yes,50588,26495744,SL/LL,P,
2MASXJ09235371-3141305,No,0,0,NA,,
2MASXJ09254750+6927532,No,0,0,NA,,
2MASXJ09360622-6548336,No,0,0,NA,,
2MASXJ09594263-3112581,No,0,0,NA,,
2MASXJ10402231-4625264,No,0,0,NA,,
2MASXJ11454045-1827149,Yes,50588,26484736,SL/LL,C,
2MASXJ12005792+0648226,Yes,50588,26484480,SL/LL,P,
2MASXJ12313717-4758019,No,0,0,NA,,
2MASXJ12335145-2103448,No,0,0,NA,,
2MASXJ12475784-5829599,No,0,0,NA,,
2MASXJ13411287-1438407,No,0,0,NA,,
2MASXJ13512953-1813468,No,0,0,NA,,
2MASXJ14080674-3023537,No,0,0,NA,,
2MASXJ14530794+2554327,No,0,0,NA,,
2MASXJ15064412+0351444,No,0,0,NA,,
2MASXJ15115979-2119015,No,0,0,NA,,
2MASXJ15462424+6929102,No,0,0,NA,,
2MASXJ16481523-3035037,No,0,0,NA,,
2MASXJ18570768-7828212,No,0,0,NA,,
2MASXJ19373299-0613046,No,0,0,NA,,
2MASXJ19380437-5109497,No,0,0,NA,,
2MASXJ20005575-1810274,No,0,0,NA,,
2MASXJ20101740+4800214,No,0,0,NA,,
2MASXJ20183871+4041003,No,0,0,NA,,
2MASXJ21090996-0940147,No,0,0,NA,,
2MASXJ21355399+4728217,No,0,0,NA,,
2MASXJ23272195+1524375,No,0,0,NA,,
2MFGC02280,No,0,0,NA,,
3C111.0,No,0,0,NA,,
3C120,Yes,30572,18505216,SL/LL,C,
4U1344-60,No,0,0,NA,,
6dFJ0626586-370559,No,0,0,NA,,
6dFJ2132022-334254,No,0,0,NA,,
Ark120,Yes,30745,18941440,SL/LL,C,
ARK241,No,0,0,NA,,
ARK347,Yes,50588,26483456,SL/LL,C,
ARP102B,Yes,234,13374720,SL,,
ARP151,No,0,0,NA,,
AXJ1737.4-2907,No,0,0,NA,,
CenA,Yes,14,8766464,SL/LL,A,
CGCG102-048,No,0,0,NA,,
CGCG122-055,No,0,0,NA,,
CGCG229-015,No,0,0,NA,,
CGCG300-062,No,0,0,NA,,
CGCG312-012,No,0,0,NA,,
CGCG319-007,No,0,0,NA,,
CGCG341-006,No,0,0,NA,,
CGCG367-009,No,0,0,NA,,
CGCG420-015,Yes,50588,26482176,SL/LL,C,
CGCG468-002NED01,Yes,30323,20322048,SL/LL,P,
CGCG493-002,No,0,0,NA,,
CGCG535-012,No,0,0,NA,,
ESO005-G004,Yes,30745,18947328,SL/LL,A/P,
ESO031-G008,No,0,0,NA,,
ESO033-G002,No,0,0,NA,,
ESO103-035,Yes,30572,18505728,SL/LL,A,
ESO121-IG028,Yes,50588,26484224,SL/LL,C,
ESO137-34,No,0,0,NA,,
ESO139-G012,No,0,0,NA,,
ESO141-G055,Yes,50588,26489856,SL/LL,C,
ESO157-G023,Yes,50588,26498816,SL/LL,C,
ESO195-IG021NED03,No,0,0,NA,,
